alpha,CD_p
-5,0.00795903
-4,0.007033734
-3,0.006391155
-2,0.005890582
-1,0.00556979
0,0.005314177
1,0.005125228
2,0.005296604
3,0.005628632
4,0.005740129
5,0.005484254
6,0.005190446
7,0.004941668
7.5,0.00488368
8,0.005021583
8.5,0.005078375
9,0.005426227
9.5,0.006617113
10,0.00838425
10.5,0.011034165
11,0.015823321
11.5,0.025469396
12,0.048080524
12.5,0.078657155
13,0.100836113
13.5,0.117752179
14,0.131578786
14.5,0.1662570085
15,0.200935231
16,0.207684585
17,0.211134318
18,0.217105636
19,0.2327616
20,0.246309925
21,0.334616286
22,0.381816094
23,0.382344239
24,0.360341713
25,0.415300042
