Ma,alpha,CL
0.3,-5,-0.511954422
0.3,-4,-0.396294919
0.3,-3,-0.278321995
0.3,-2,-0.159296786
0.3,-1,-0.043312737
0.3,0,0.071692871
0.3,1,0.184991415
0.3,2,0.301648765
0.3,3,0.415652573
0.3,4,0.53042238
0.3,5,0.644815182
0.3,6,0.758942953
0.3,7,0.864398437
0.3,7.5,0.915889474
0.3,8,0.968977727
0.3,8.5,1.01719253
0.3,9,1.065464405
0.3,9.5,1.10753605
0.3,10,1.146325032
0.3,10.5,1.185185842
0.3,11,1.207951102
0.3,11.5,1.222909432
0.3,12,1.227133337
0.3,12.5,1.184482197
0.3,13,1.022631763
0.3,13.5,0.922727366
0.3,14,0.873987856
0.3,14.5,0.853415652
0.3,15,0.858894725
0.3,16,0.8334962495
0.3,17,0.808097774
0.3,18,0.767456026
0.3,19,0.744772343
0.3,20,0.744521635
0.3,21,0.74071559
0.3,22,0.73479705
0.3,23,0.766723602
0.3,24,0.802499633
0.3,25,0.811360914
0.4,-5,-0.542324754
0.4,-4,-0.419996027
0.4,-3,-0.296369156
0.4,-2,-0.173739201
0.4,-1,-0.051994072
0.4,0,0.067470386
0.4,1,0.188131054
0.4,2,0.309417154
0.4,3,0.427251288
0.4,4,0.548733427
0.4,5,0.666810927
0.4,6,0.782539183
0.4,7,0.897740225
0.4,7.5,0.950692764
0.4,8,1.002675127
0.4,8.5,1.047893285
0.4,9,1.092674518
0.4,9.5,1.132585236
0.4,10,1.1647621
0.4,10.5,1.184895824
0.4,11,1.193445942
0.4,11.5,1.172505288
0.4,12,1.077125925
0.4,12.5,0.965655582
0.4,13,0.901423611
0.4,13.5,0.88243902
0.4,14,0.898918677
0.4,14.5,0.885172547
0.4,15,0.871426417
0.4,16,0.850856818
0.4,17,0.775322093
0.4,18,0.747432899
0.4,19,0.760973121
0.4,20,0.751243362
0.4,21,0.979764048
0.4,22,1.046205635
0.4,23,0.947402972
0.4,24,0.821433911
0.4,25,0.858070574
0.5,-5,-0.578757382
0.5,-4,-0.449077734
0.5,-3,-0.317701981
0.5,-2,-0.186625366
0.5,-1,-0.055985446
0.5,0,0.072060764
0.5,1,0.201131054
0.5,2,0.328884683
0.5,3,0.457646331
0.5,4,0.585565532
0.5,5,0.714416427
0.5,6,0.831393389
0.5,7,0.924466946
0.5,7.5,0.957037583
0.5,8,0.97260109
0.5,8.5,0.97159562
0.5,9,0.955696222
0.5,9.5,0.922981699
0.5,10,0.922082009
0.5,10.5,0.891030817
0.5,11,0.886606331
0.5,11.5,0.907006835
0.5,12,0.949877122
0.5,12.5,0.997240626
0.5,13,1.025607568
0.5,13.5,1.022360631
0.5,14,0.916225879
0.5,14.5,0.962502841
0.5,15,1.001757396
0.5,16,1.004479707
0.5,17,1.033397942
0.5,18,0.986874874
0.5,19,1.012636043
0.5,20,1.005551842
0.5,21,1.01660362
0.5,22,1.008337694
0.5,23,1.000071768
0.5,24,0.881183137
0.5,25,0.94863957
