Ma,alpha,CL_p
0.3,-5,-0.511980104
0.3,-4,-0.396386359
0.3,-3,-0.278419964
0.3,-2,-0.159375677
0.3,-1,-0.043358229
0.3,0,0.071692871
0.3,1,0.185053122
0.3,2,0.301775352
0.3,3,0.41575619
0.3,4,0.530520605
0.3,5,0.645026967
0.3,6,0.75931578
0.3,7,0.864992466
0.3,7.5,0.916623669
0.3,8,0.969881434
0.3,8.5,1.018241252
0.3,9,1.066723703
0.3,9.5,1.108997973
0.3,10,1.147982101
0.3,10.5,1.187026738
0.3,11,1.209711017
0.3,11.5,1.224514631
0.3,12,1.227875961
0.3,12.5,1.183505785
0.3,13,1.013232094
0.3,13.5,0.906635785
0.3,14,0.852832283
0.3,14.5,0.828461928
0.3,15,0.831380584
0.3,16,0.8248703085
0.3,17,0.818360033
0.3,18,0.777963047
0.3,19,0.755441901
0.3,20,0.753436191
0.3,21,0.734783003
0.3,22,0.738152106
0.3,23,0.766304183
0.3,24,0.796522275
0.3,25,0.80193202
0.4,-5,-0.542319417
0.4,-4,-0.420051337
0.4,-3,-0.296454812
0.4,-2,-0.173819612
0.4,-1,-0.052040221
0.4,0,0.067470386
0.4,1,0.188186382
0.4,2,0.309531693
0.4,3,0.427351338
0.4,4,0.548787059
0.4,5,0.666902221
0.4,6,0.782774991
0.4,7,0.89812759
0.4,7.5,0.951156265
0.4,8,1.003198011
0.4,8.5,1.048481318
0.4,9,1.09332931
0.4,9.5,1.133193571
0.4,10,1.165237478
0.4,10.5,1.185121126
0.4,11,1.193053652
0.4,11.5,1.170464894
0.4,12,1.070524427
0.4,12.5,0.952283176
0.4,13,0.882620313
0.4,13.5,0.859374185
0.4,14,0.872659643
0.4,14.5,0.8751879755
0.4,15,0.877716308
0.4,16,0.860647812
0.4,17,0.78632808
0.4,18,0.762733819
0.4,19,0.764930404
0.4,20,0.76007148
0.4,21,0.945190741
0.4,22,0.992675615
0.4,23,0.885849086
0.4,24,0.820628268
0.4,25,0.842724139
0.5,-5,-0.578734863
0.5,-4,-0.449135108
0.5,-3,-0.317782041
0.5,-2,-0.186699566
0.5,-1,-0.056028971
0.5,0,0.072060764
0.5,1,0.201181637
0.5,2,0.328986225
0.5,3,0.457733695
0.5,4,0.585614995
0.5,5,0.714433748
0.5,6,0.831420068
0.5,7,0.924055124
0.5,7.5,0.956132048
0.5,8,0.970977896
0.5,8.5,0.968985751
0.5,9,0.951708565
0.5,9.5,0.917444758
0.5,10,0.91525402
0.5,10.5,0.881850967
0.5,11,0.876109153
0.5,11.5,0.895319329
0.5,12,0.937356914
0.5,12.5,0.983874736
0.5,13,1.011483864
0.5,13.5,1.012850591
0.5,14,0.919247856
0.5,14.5,0.965541553
0.5,15,1.005907926
0.5,16,0.990288881
0.5,17,1.005214767
0.5,18,0.963071144
0.5,19,0.975735314
0.5,20,0.969007281
0.5,21,0.963054702
0.5,22,0.947422007
0.5,23,0.931789312
0.5,24,0.868125636
0.5,25,0.915654725
