alpha,CL_p
-5,-0.578734863
-4,-0.449135108
-3,-0.317782041
-2,-0.186699566
-1,-0.056028971
0,0.072060764
1,0.201181637
2,0.328986225
3,0.457733695
4,0.585614995
5,0.714433748
6,0.831420068
7,0.924055124
7.5,0.956132048
8,0.970977896
8.5,0.968985751
9,0.951708565
9.5,0.917444758
10,0.91525402
10.5,0.881850967
11,0.876109153
11.5,0.895319329
12,0.937356914
12.5,0.983874736
13,1.011483864
13.5,1.012850591
14,0.919247856
14.5,0.965541553
15,1.005907926
16,0.990288881
17,1.005214767
18,0.963071144
19,0.975735314
20,0.969007281
21,0.963054702
22,0.947422007
23,0.931789312
24,0.868125636
25,0.915654725
