Ma,alpha,CM（翼型原始）
0.3,-5,-0.018470784
0.3,-4,-0.015806739
0.3,-3,-0.01321337
0.3,-2,-0.01170929
0.3,-1,-0.010036013
0.3,0,-0.008858113
0.3,1,-0.007999842
0.3,2,-0.007052275
0.3,3,-0.006120285
0.3,4,-0.006261957
0.3,5,-0.006826226
0.3,6,-0.007271224
0.3,7,-0.006846675
0.3,7.5,-0.006313968
0.3,8,-0.005859547
0.3,8.5,-0.004905177
0.3,9,-0.00427288
0.3,9.5,-0.002818676
0.3,10,-0.001488323
0.3,10.5,-0.000194083
0.3,11,0.00089073
0.3,11.5,0.001388272
0.3,12,-0.00142088
0.3,12.5,-0.009113967
0.3,13,-0.042304997
0.3,13.5,-0.055368586
0.3,14,-0.063026551
0.3,14.5,-0.069077755
0.3,15,-0.072783026
0.3,16,-0.1003740395
0.3,17,-0.127965053
0.3,18,-0.108976357
0.3,19,-0.101514211
0.3,20,-0.100011986
0.3,21,-0.121909293
0.3,22,-0.11275952
0.3,23,-0.119402359
0.3,24,-0.126849779
0.3,25,-0.128762276
0.4,-5,-0.019209494
0.4,-4,-0.016042449
0.4,-3,-0.01363312
0.4,-2,-0.011776591
0.4,-1,-0.010267882
0.4,0,-0.00900451
0.4,1,-0.008030264
0.4,2,-0.007198667
0.4,3,-0.005826121
0.4,4,-0.006614894
0.4,5,-0.004897646
0.4,6,-0.004041776
0.4,7,-0.003111922
0.4,7.5,-0.001764214
0.4,8,0.000406254
0.4,8.5,0.00392807
0.4,9,0.006763818
0.4,9.5,0.008964289
0.4,10,0.011378265
0.4,10.5,0.013242604
0.4,11,0.01241724
0.4,11.5,0.005856874
0.4,12,-0.016437501
0.4,12.5,-0.044198688
0.4,13,-0.054596217
0.4,13.5,-0.060967395
0.4,14,-0.060446596
0.4,14.5,-0.0977172235
0.4,15,-0.134987851
0.4,16,-0.124784496
0.4,17,-0.115553264
0.4,18,-0.104978822
0.4,19,-0.102624654
0.4,20,-0.099268128
0.4,21,-0.112568492
0.4,22,-0.117061039
0.4,23,-0.126148808
0.4,24,-0.115228103
0.4,25,-0.13641613
0.5,-5,-0.023432284
0.5,-4,-0.018767247
0.5,-3,-0.015593719
0.5,-2,-0.013328415
0.5,-1,-0.01145546
0.5,0,-0.009879394
0.5,1,-0.008512989
0.5,2,-0.007114466
0.5,3,-0.005496988
0.5,4,-0.003099566
0.5,5,-0.002048993
0.5,6,0.004519927
0.5,7,0.012823678
0.5,7.5,0.01663941
0.5,8,0.019741202
0.5,8.5,0.018691064
0.5,9,0.010842161
0.5,9.5,-0.002207195
0.5,10,-0.012201692
0.5,10.5,-0.032738461
0.5,11,-0.042369983
0.5,11.5,-0.044312033
0.5,12,-0.033700851
0.5,12.5,-0.01927953
0.5,13,-0.013778556
0.5,13.5,-0.052853251
0.5,14,-0.117007266
0.5,14.5,-0.104960013
0.5,15,-0.104024003
0.5,16,-0.108419774
0.5,17,-0.096462961
0.5,18,-0.097217262
0.5,19,-0.106732562
0.5,20,-0.119855983
0.5,21,-0.123369414
0.5,22,-0.1238153285
0.5,23,-0.124261243
0.5,24,-0.128681442
0.5,25,-0.150657287
