Ma,alpha,CN（翼型原始）
0.3,-5,-0.510707033
0.3,-4,-0.395892223
0.3,-3,-0.278369299
0.3,-2,-0.159484161
0.3,-1,-0.043447673
0.3,0,0.071692871
0.3,1,0.185110042
0.3,2,0.301768282
0.3,3,0.415458072
0.3,4,0.529588648
0.3,5,0.642989483
0.3,6,0.755590271
0.3,7,0.858977905
0.3,7.5,0.909202929
0.3,8,0.960815265
0.3,8.5,1.00739322
0.3,9,1.053886737
0.3,9.5,1.094108819
0.3,10,1.130916374
0.3,10.5,1.167601526
0.3,11,1.188375723
0.3,11.5,1.201447795
0.3,12,1.203820934
0.3,12.5,1.160586069
0.3,13,1.001284233
0.3,13.5,0.902782632
0.3,14,0.854518486
0.3,14.5,0.833937165
0.3,15,0.839556932
0.3,16,0.8426506955
0.3,17,0.845744459
0.3,18,0.806102642
0.3,19,0.786858485
0.3,20,0.789530171
0.3,21,0.80111078
0.3,22,0.808835332
0.3,23,0.843410344
0.3,24,0.882173978
0.3,25,0.895043106
0.4,-5,-0.540949403
0.4,-4,-0.419518762
0.4,-3,-0.296383018
0.4,-2,-0.173919304
0.4,-1,-0.052129501
0.4,0,0.067470386
0.4,1,0.188247168
0.4,2,0.309527983
0.4,3,0.427060248
0.4,4,0.547850652
0.4,5,0.664842441
0.4,6,0.779029417
0.4,7,0.892035321
0.4,7.5,0.94365644
0.4,8,0.994133826
0.4,8.5,1.037715287
0.4,9,1.080717461
0.4,9.5,1.118744641
0.4,10,1.148990812
0.4,10.5,1.16728698
0.4,11,1.174153128
0.4,11.5,1.152045246
0.4,12,1.057127403
0.4,12.5,0.946734787
0.4,13,0.882682001
0.4,13.5,0.863118308
0.4,14,0.878569711
0.4,14.5,0.8891922125
0.4,15,0.899814714
0.4,16,0.884553405
0.4,17,0.813698983
0.4,18,0.7924923
0.4,19,0.799035671
0.4,20,0.798476517
0.4,21,1.002327327
0.4,22,1.06342363
0.4,23,0.964822179
0.4,24,0.896245406
0.4,25,0.939280831
0.5,-5,-0.577247028
0.5,-4,-0.448540713
0.5,-3,-0.317689322
0.5,-2,-0.186796916
0.5,-1,-0.056120753
0.5,0,0.072060764
0.5,1,0.201244697
0.5,2,0.328983705
0.5,3,0.457423705
0.5,4,0.584616956
0.5,5,0.712283588
0.5,6,0.827610549
0.5,7,0.918597636
0.5,7.5,0.950026061
0.5,8,0.964507015
0.5,8.5,0.962621002
0.5,9,0.9460486
0.5,9.5,0.913189478
0.5,10,0.911999272
0.5,10.5,0.881452092
0.5,11,0.877236683
0.5,11.5,0.897465631
0.5,12,0.940062748
0.5,12.5,0.986589704
0.5,13,1.014865764
0.5,13.5,1.021490333
0.5,14,0.936282921
0.5,14.5,0.982675603
0.5,15,1.023795422
0.5,16,1.015334172
0.5,17,1.033911813
0.5,18,0.993323633
0.5,19,1.021601547
0.5,20,1.029175599
0.5,21,1.030096913
0.5,22,1.0198813745
0.5,23,1.009665836
0.5,24,0.952985227
0.5,25,1.018855274
