iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,12,0.931630625234936,"[0.5, 12.0]","[0.3, 25.0]",2,-0.033700851,-0.128762276
2,14,0.93339512226298,"[0.5, 4.0]","[0.3, -5.0]",2,-0.003099566,-0.018470784
3,16,0.9342477181080681,"[0.5, 1.0]","[0.4, 25.0]",2,-0.008512989,-0.13641613
4,18,0.9449892582988835,"[0.5, -4.0]","[0.5, -5.0]",2,-0.018767247,-0.023432284
5,20,0.9473695400341222,"[0.4, -4.0]","[0.4, 19.0]",2,-0.016042449,-0.102624654
6,22,0.9568699364807259,"[0.4, 17.0]","[0.3, 19.0]",2,-0.115553264,-0.101514211
7,24,0.9593566789259713,"[0.5, 19.0]","[0.3, 2.0]",2,-0.106732562,-0.007052275
8,26,0.9612643603201394,"[0.5, 21.0]","[0.3, 6.0]",2,-0.123369414,-0.007271224
9,28,0.9633733629232061,"[0.5, 22.0]","[0.3, 15.0]",2,-0.1238153285,-0.072783026
10,30,0.974713234630552,"[0.4, 15.0]","[0.4, 7.0]",2,-0.134987851,-0.003111922
11,32,0.9941118502603052,"[0.4, 14.0]","[0.3, -2.0]",2,-0.060446596,-0.01170929
12,34,0.9989508834969755,"[0.4, 13.0]","[0.4, 4.0]",2,-0.054596217,-0.006614894
13,36,0.9964958068629179,"[0.4, 12.5]","[0.5, 24.0]",2,-0.044198688,-0.128681442
14,38,0.9856136346151548,"[0.4, 9.5]","[0.3, -4.0]",2,0.008964289,-0.015806739
15,40,0.9856353991591223,"[0.4, 9.0]","[0.3, 22.0]",2,0.006763818,-0.11275952
16,42,0.9817010374858206,"[0.4, 22.0]","[0.5, 7.0]",2,-0.117061039,0.012823678
17,44,0.9794925468747203,"[0.4, 23.0]","[0.5, 15.0]",2,-0.126148808,-0.104024003
18,46,0.978830742964237,"[0.5, 14.5]","[0.3, -3.0]",2,-0.104960013,-0.01321337
19,48,0.9822004223123335,"[0.5, 14.0]","[0.3, 24.0]",2,-0.117007266,-0.126849779
20,50,0.9930345142598487,"[0.4, 24.0]","[0.3, 23.0]",2,-0.115228103,-0.119402359
21,52,0.9852665790462092,"[0.5, 23.0]","[0.4, -3.0]",2,-0.124261243,-0.01363312
22,54,0.9845103366640273,"[0.4, 21.0]","[0.3, 21.0]",2,-0.112568492,-0.121909293
23,56,0.9874332667362914,"[0.3, 20.0]","[0.5, -3.0]",2,-0.100011986,-0.015593719
24,58,0.9867871459308593,"[0.3, 17.0]","[0.4, 20.0]",2,-0.127965053,-0.099268128
25,60,0.9869874120118602,"[0.5, 17.0]","[0.5, -2.0]",2,-0.096462961,-0.013328415
26,62,0.9862288983183931,"[0.5, 16.0]","[0.4, -2.0]",2,-0.108419774,-0.011776591
27,64,0.9859954407327152,"[0.5, 20.0]","[0.5, 9.0]",2,-0.119855983,0.010842161
